# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0092 -8.1787109375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0093 -8.1298828125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0094 -8.0810546875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0095 -8.0322265625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0096 -7.9833984375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0097 -7.9345703125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0098 -7.8857421875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0099 -7.8369140625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0100 -7.7880859375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0101 -7.7392578125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0102 -7.6904296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0103 -7.6416015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0104 -7.5927734375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0105 -7.5439453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0106 -7.4951171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0107 -7.4462890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0108 -7.3974609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0109 -7.3486328125 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0110 -7.2998046875 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0111 -7.2509765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0112 -7.2021484375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0113 -7.1533203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0114 -7.1044921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0115 -7.0556640625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0116 -7.0068359375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0117 -6.9580078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0118 -6.9091796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0119 -6.8603515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0120 -6.8115234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0121 -6.7626953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0122 -6.7138671875 4.51479332275718818e-10 0 0 0 1.27475118154485634e-13
0123 -6.6650390625 5.67561442569403077e-09 0 0 0 3.39186289082387757e-12
0124 -6.6162109375 2.39045936026647764e-08 0 0 0 2.23896997676342233e-11
0125 -6.5673828125 7.19810433822882947e-08 0 0 0 8.92733353462724337e-11
0126 -6.5185546875 1.73838793142540044e-07 0 0 0 2.61227082083128079e-10
0127 -6.4697265625 3.66153018855523257e-07 0 0 0 6.46855317268059956e-10
0128 -6.4208984375 7.5505840336410724e-07 0 0 0 1.44120721400441279e-09
0129 -6.3720703125 4.69155860784501657e-06 0 0 0 4.80983483938875259e-09
0130 -6.3232421875 2.05557547581331207e-05 0 0 0 2.20395574077632376e-08
0131 -6.2744140625 5.57131776696176724e-05 0 0 0 8.26793239258333644e-08
0132 -6.2255859375 8.56037608566609327e-05 0 0 0 1.99067998322329771e-07
0133 -6.1767578125 0.00011108822983898746 0 0 0 3.624472837135673e-07
0134 -6.1279296875 0.000138301905886292889 0 0 0 5.69021734723042292e-07
0135 -6.0791015625 0.000162198036088536816 0 0 0 8.25835100438727228e-07
0136 -6.0302734375 0.000185411498958740201 0 0 0 1.12636952566956326e-06
0137 -5.9814453125 0.000208871246249499375 0 0 0 1.4699361092109452e-06
0138 -5.9326171875 0.000232922269586063912 0 0 0 1.85838500237311577e-06
0139 -5.8837890625 0.000257414389035430958 0 0 0 2.29638066117015896e-06
0140 -5.8349609375 0.000282109099698183905 0 0 0 2.78329101080956772e-06
0141 -5.7861328125 0.000306820124499840308 0 0 0 3.32107774753978839e-06
0142 -5.7373046875 0.000331314529164790958 0 0 0 3.91065051186159539e-06
0143 -5.6884765625 0.000355329093431600712 0 0 0 4.54857796621600173e-06
0144 -5.6396484375 0.000378682547436782406 0 0 0 5.2391420644776771e-06
0145 -5.5908203125 0.000401247531100333338 0 0 0 5.97926516792655074e-06
0146 -5.5419921875 0.000422860695136176973 0 0 0 6.76461158756890989e-06
0147 -5.4931640625 0.000443617756947026264 0 0 0 7.60782830694833577e-06
0148 -5.4443359375 0.00046342237547512523 0 0 0 8.48707693127834253e-06
0149 -5.3955078125 0.00048244961720723961 0 0 0 9.42124139732540786e-06
0150 -5.3466796875 0.000500620432814717457 0 0 0 1.03950160230959254e-05
0151 -5.2978515625 0.000518126705648659777 0 0 0 1.13981161941381192e-05
0152 -5.2490234375 0.000534956075235977339 0 0 0 1.24717539211848046e-05
0153 -5.2001953125 0.000551150011896220154 0 0 0 1.35663324113993489e-05
0154 -5.1513671875 0.000566847034350918908 0 0 0 1.46873150360462936e-05
0155 -5.1025390625 0.00058204104071249397 0 0 0 1.58820445987162857e-05
0156 -5.0537109375 0.000596739771579421117 0 0 0 1.70982372095027876e-05
0157 -5.0048828125 0.000611035733244168731 0 0 0 1.83395749448404332e-05
0158 -4.9560546875 0.000624993090026184327 0 0 0 1.96200448178168824e-05
0159 -4.9072265625 0.000638575355976530971 0 0 0 2.09551417605967629e-05
0160 -4.8583984375 0.000651810232999252225 0 0 0 2.23139790118512913e-05
